"Value","Class","Type"
0.208640373,"NDWI-Water","Non-rice"
0.295360783,"NDWI-Water","Non-rice"
0.261910174,"NDWI-Water","Non-rice"
0.301451055,"NDWI-Water","Non-rice"
0.341178751,"NDWI-Water","Non-rice"
0.166879398,"NDWI-Water","Non-rice"
0.218412328,"NDWI-Water","Non-rice"
0.312160464,"NDWI-Water","Non-rice"
0.324818271,"NDWI-Water","Non-rice"
0.312225456,"NDWI-Water","Non-rice"
0.278983791,"NDWI-Water","Non-rice"
0.370890229,"NDWI-Water","Non-rice"
0.352202988,"NDWI-Water","Non-rice"
0.352204357,"NDWI-Water","Non-rice"
0.346352308,"NDWI-Water","Non-rice"
0.340620291,"NDWI-Water","Non-rice"
0.344242901,"NDWI-Water","Non-rice"
0.330522379,"NDWI-Water","Non-rice"
0.329533432,"NDWI-Water","Non-rice"
0.288650512,"NDWI-Water","Non-rice"
0.378887227,"NDWI-Water","Non-rice"
0.372276114,"NDWI-Water","Non-rice"
0.374998837,"NDWI-Water","Non-rice"
0.37446587,"NDWI-Water","Non-rice"
0.369647574,"NDWI-Water","Non-rice"
0.359790386,"NDWI-Water","Non-rice"
0.343534766,"NDWI-Water","Non-rice"
0.353209888,"NDWI-Water","Non-rice"
0.348698615,"NDWI-Water","Non-rice"
0.3465868,"NDWI-Water","Non-rice"
0.378689388,"NDWI-Water","Non-rice"
0.379085665,"NDWI-Water","Non-rice"
0.360184268,"NDWI-Water","Non-rice"
0.284580213,"NDWI-Water","Non-rice"
0.329507548,"NDWI-Water","Non-rice"
0.337529382,"NDWI-Water","Non-rice"
0.331953893,"NDWI-Water","Non-rice"
0.337772267,"NDWI-Water","Non-rice"
0.354258612,"NDWI-Water","Non-rice"
0.360516026,"NDWI-Water","Non-rice"
0.377005975,"NDWI-Water","Non-rice"
0.346936873,"NDWI-Water","Non-rice"
0.354211138,"NDWI-Water","Non-rice"
0.342613269,"NDWI-Water","Non-rice"
0.353697189,"NDWI-Water","Non-rice"
0.336713565,"NDWI-Water","Non-rice"
0.300288201,"NDWI-Water","Non-rice"
0.310649231,"NDWI-Water","Non-rice"
0.354372376,"NDWI-Water","Non-rice"
0.391156077,"NDWI-Water","Non-rice"
0.389996063,"NDWI-Water","Non-rice"
0.333291532,"NDWI-Water","Non-rice"
0.33895377,"NDWI-Water","Non-rice"
0.34253086,"NDWI-Water","Non-rice"
0.339713168,"NDWI-Water","Non-rice"
0.372427519,"NDWI-Water","Non-rice"
