Class,DEM,NDVI,NDWI,SAVI,VALUE,blue,green,.geo
Rice,7,0.450042878,-0.421774851,0.297150721,1,0.074561673,0.102290096,"{""type"":""Point"",""coordinates"":[106.0283799940066,21.191342664375124]}"
Rice,7,0.356208209,-0.405030935,0.2230078,1,0.073685738,0.102560648,"{""type"":""Point"",""coordinates"":[106.02664540369682,21.19108403651402]}"
Rice,6,0.396292736,-0.406615008,0.254832383,1,0.074735306,0.102653484,"{""type"":""Point"",""coordinates"":[106.02693524526529,21.191084036514017]}"
Rice,5,0.396853991,-0.412207223,0.25607026,1,0.075674358,0.10208881,"{""type"":""Point"",""coordinates"":[106.02722508683375,21.19107957741297]}"
Rice,5,0.39685694,-0.412205815,0.256074314,1,0.075675399,0.102090154,"{""type"":""Point"",""coordinates"":[106.02751492840221,21.19107957741297]}"
Rice,7,0.458588926,-0.430534612,0.30282163,1,0.072191784,0.101333864,"{""type"":""Point"",""coordinates"":[106.02780031086967,21.19107511831191]}"
Rice,8,0.464958909,-0.425928945,0.306317279,1,0.071373265,0.102037326,"{""type"":""Point"",""coordinates"":[106.02809015243812,21.19107511831191]}"
Rice,8,0.447689622,-0.426104567,0.295034307,1,0.072878268,0.101842528,"{""type"":""Point"",""coordinates"":[106.0283799940066,21.19107511831191]}"
Rice,6,0.354974998,-0.379758688,0.222477099,1,0.073656945,0.10306523,"{""type"":""Point"",""coordinates"":[106.0266454036968,21.19081203134976]}"
Rice,4,0.407235801,-0.392912261,0.262588456,1,0.074232749,0.10166744,"{""type"":""Point"",""coordinates"":[106.02693524526529,21.190812031349765]}"
Rice,4,0.40503077,-0.384722196,0.256210759,1,0.072717972,0.1008798,"{""type"":""Point"",""coordinates"":[106.0272206277327,21.19080757224871]}"
Rice,4,0.405032298,-0.384720774,0.256213741,1,0.072718987,0.100881129,"{""type"":""Point"",""coordinates"":[106.02751046930118,21.190807572248705]}"
Rice,7,0.442508675,-0.416543891,0.291375343,1,0.074062633,0.101942416,"{""type"":""Point"",""coordinates"":[106.02780031086967,21.19080757224871]}"
Rice,8,0.433556426,-0.400635888,0.285357042,1,0.075415058,0.103125758,"{""type"":""Point"",""coordinates"":[106.02809015243812,21.190803113147663]}"
Rice,8,0.417999775,-0.386789533,0.274644871,1,0.076664099,0.106145296,"{""type"":""Point"",""coordinates"":[106.0283799940066,21.190803113147663]}"
Rice,4,0.401133912,-0.383610115,0.251700556,1,0.073001847,0.101909137,"{""type"":""Point"",""coordinates"":[106.02664094459577,21.190540026185502]}"
Rice,3,0.420947564,-0.394411353,0.266851674,1,0.071295314,0.099889026,"{""type"":""Point"",""coordinates"":[106.02693078616423,21.190540026185502]}"
Rice,4,0.438308976,-0.403026659,0.281347364,1,0.070617924,0.09829098,"{""type"":""Point"",""coordinates"":[106.0272206277327,21.190540026185506]}"
Rice,6,0.438310353,-0.403025169,0.281350223,1,0.070618911,0.098292291,"{""type"":""Point"",""coordinates"":[106.02751046930118,21.190535567084446]}"
Rice,6,0.404236934,-0.368587681,0.272774261,1,0.083343773,0.11421882,"{""type"":""Point"",""coordinates"":[106.13461807660497,21.176841667749315]}"
Rice,8,0.417935905,-0.383724141,0.279654363,1,0.081608907,0.111742901,"{""type"":""Point"",""coordinates"":[106.13490791817343,21.17684166774932]}"
Rice,5,0.444860676,-0.422158166,0.292768382,1,0.070998624,0.100685059,"{""type"":""Point"",""coordinates"":[106.13403839346802,21.17657412168611]}"
Rice,5,0.413768498,-0.434838101,0.279625754,1,0.077541966,0.107034183,"{""type"":""Point"",""coordinates"":[106.13432823503648,21.176574121686112]}"
Rice,7,0.421524986,-0.420938843,0.283050336,1,0.074208858,0.105888323,"{""type"":""Point"",""coordinates"":[106.13461807660498,21.176569662585056]}"
Rice,8,0.398102599,-0.441761672,0.270995539,1,0.079044593,0.111772729,"{""type"":""Point"",""coordinates"":[106.13490791817343,21.176569662585056]}"
Rice,8,0.441710372,-0.411628528,0.29432615,1,0.072151635,0.101000291,"{""type"":""Point"",""coordinates"":[106.13345871033104,21.1763065756229]}"
Rice,8,0.410804634,-0.417406437,0.265014689,1,0.072893281,0.097020815,"{""type"":""Point"",""coordinates"":[106.13374855189953,21.1763065756229]}"
Rice,6,0.420338619,-0.425510145,0.272376378,1,0.068940382,0.097325618,"{""type"":""Point"",""coordinates"":[106.13403839346802,21.17630211652185]}"
Rice,6,0.381711668,-0.415106904,0.256510586,1,0.077150314,0.10708106,"{""type"":""Point"",""coordinates"":[106.13432823503648,21.176302116521853]}"
Rice,7,0.447637162,-0.425928216,0.299251738,1,0.072284652,0.103785055,"{""type"":""Point"",""coordinates"":[106.13461807660498,21.17630211652185]}"
Rice,9,0.464565439,-0.398639616,0.306518102,1,0.069293409,0.101154703,"{""type"":""Point"",""coordinates"":[106.13490345907238,21.176297657420797]}"
Rice,9,0.477836353,-0.408289725,0.309287178,1,0.067615316,0.096141508,"{""type"":""Point"",""coordinates"":[106.13345871033104,21.176039029559693]}"
Rice,7,0.451909954,-0.356171757,0.294764266,1,0.06996422,0.095904101,"{""type"":""Point"",""coordinates"":[106.13374855189952,21.176034570458643]}"
Rice,5,0.418656427,-0.453200457,0.27846411,1,0.073251439,0.100137891,"{""type"":""Point"",""coordinates"":[106.13403393436694,21.176034570458643]}"
Rice,6,0.418885399,-0.418884997,0.283224232,1,0.076218476,0.10331627,"{""type"":""Point"",""coordinates"":[106.13461361750389,21.176030111357587]}"
Rice,8,0.453895589,-0.37386681,0.29804237,1,0.070130559,0.100128699,"{""type"":""Point"",""coordinates"":[106.13490345907238,21.176025652256538]}"
Rice,8,0.46116855,-0.40685743,0.30596249,1,0.070776149,0.103125232,"{""type"":""Point"",""coordinates"":[106.13519330064085,21.176025652256538]}"
Rice,8,0.460619589,-0.411395365,0.298496457,1,0.069683761,0.097842395,"{""type"":""Point"",""coordinates"":[106.13345425123,21.175767024395434]}"
Rice,5,0.436571889,-0.411852119,0.287995333,1,0.071363175,0.099110562,"{""type"":""Point"",""coordinates"":[106.13374409279848,21.175762565294384]}"
Rice,3,0.394905749,-0.436329718,0.257010362,1,0.07310793,0.097601105,"{""type"":""Point"",""coordinates"":[106.13403393436694,21.175762565294384]}"
Rice,6,0.456461252,-0.375162625,0.302011346,1,0.071289168,0.098254742,"{""type"":""Point"",""coordinates"":[106.13489899997131,21.17575810619333]}"
Rice,7,0.467769323,-0.404832859,0.316355893,1,0.07325859,0.103910176,"{""type"":""Point"",""coordinates"":[106.13518884153979,21.17575364709228]}"
Rice,4,0.41595097,-0.434426232,0.269229656,1,0.072301232,0.099623904,"{""type"":""Point"",""coordinates"":[106.13374409279847,21.17549501923117]}"
Rice,5,0.442609359,-0.426760601,0.286475245,1,0.071527937,0.099278325,"{""type"":""Point"",""coordinates"":[106.13373963369742,21.175223014066916]}"
Rice,6,0.31126674,-0.352914536,0.192631794,1,0.075239984,0.105833966,"{""type"":""Point"",""coordinates"":[105.98598286119045,21.16042771677158]}"
Rice,8,0.311269565,-0.352913944,0.19263501,1,0.075240916,0.105835214,"{""type"":""Point"",""coordinates"":[105.9862727027589,21.16042771677158]}"
Rice,9,0.310543162,-0.36487265,0.193983185,1,0.078143755,0.106832061,"{""type"":""Point"",""coordinates"":[105.98656254432741,21.16042325767053]}"
Rice,7,0.311250267,-0.349734813,0.19057247,1,0.07445221,0.104420557,"{""type"":""Point"",""coordinates"":[105.98598286119045,21.16015571160732]}"
Rice,9,0.311253144,-0.349733435,0.190575692,1,0.074453133,0.104421788,"{""type"":""Point"",""coordinates"":[105.9862727027589,21.16015571160732]}"
Rice,9,0.311642102,-0.337390939,0.191371149,1,0.075094604,0.105628923,"{""type"":""Point"",""coordinates"":[105.98655808522636,21.16015571160732]}"
Rice,5,0.30849234,-0.367040549,0.191041285,1,0.076295183,0.1053161,"{""type"":""Point"",""coordinates"":[105.98684792679482,21.160151252506264]}"
Rice,4,0.307695609,-0.355048966,0.186311054,1,0.074986968,0.103111822,"{""type"":""Point"",""coordinates"":[105.9859784020894,21.159888165544114]}"
Rice,7,0.307698472,-0.355047595,0.186314233,1,0.074987883,0.103113037,"{""type"":""Point"",""coordinates"":[105.98626824365785,21.159883706443058]}"
Rice,6,0.297717185,-0.340648054,0.18278781,1,0.077397441,0.106518411,"{""type"":""Point"",""coordinates"":[105.98655808522636,21.159883706443058]}"
Rice,5,0.299835481,-0.340139733,0.185109803,1,0.076821282,0.107201794,"{""type"":""Point"",""coordinates"":[105.98684792679482,21.159879247342012]}"
Rice,4,0.44337046,-0.333896282,0.293445827,1,0.069371906,0.09823068,"{""type"":""Point"",""coordinates"":[106.1394205284395,21.12423319352076]}"
Rice,6,0.442445824,-0.319636624,0.285016041,1,0.065271178,0.097004361,"{""type"":""Point"",""coordinates"":[106.13970591090693,21.124228734419706]}"
Rice,8,0.457752223,-0.325766966,0.290919909,1,0.063039557,0.094639909,"{""type"":""Point"",""coordinates"":[106.13999575247541,21.12422873441971]}"
Rice,9,0.48850108,-0.375874098,0.310846135,1,0.062376186,0.084723116,"{""type"":""Point"",""coordinates"":[106.14028559404387,21.124224275318657]}"
Rice,6,0.508144814,-0.370258923,0.325489571,1,0.059729358,0.09022469,"{""type"":""Point"",""coordinates"":[106.14057543561235,21.124224275318657]}"
Rice,5,0.425612341,-0.341056851,0.279281079,1,0.07130961,0.097783443,"{""type"":""Point"",""coordinates"":[106.13941606933845,21.1239611883565]}"
Rice,6,0.415228304,-0.342791924,0.268294884,1,0.071049928,0.095670458,"{""type"":""Point"",""coordinates"":[106.13970591090693,21.12395672925545]}"
Rice,6,0.430843232,-0.348099883,0.281639141,1,0.070302491,0.094202975,"{""type"":""Point"",""coordinates"":[106.1399957524754,21.12395672925545]}"
Rice,6,0.463399977,-0.392633648,0.296747851,1,0.066612455,0.087695,"{""type"":""Point"",""coordinates"":[106.14028113494284,21.123952270154398]}"
Rice,3,0.470982368,-0.392377978,0.299694798,1,0.066189642,0.088856856,"{""type"":""Point"",""coordinates"":[106.1405709765113,21.123952270154398]}"
Rice,5,0.430307111,-0.371611116,0.285034677,1,0.068865641,0.104166177,"{""type"":""Point"",""coordinates"":[106.13941606933845,21.123689183192244]}"
Rice,6,0.422922962,-0.362057084,0.277353001,1,0.070059294,0.10246542,"{""type"":""Point"",""coordinates"":[106.13970145180588,21.123689183192244]}"
Rice,4,0.408486572,-0.366125216,0.265789771,1,0.073389214,0.097789666,"{""type"":""Point"",""coordinates"":[106.13999129337435,21.123684724091188]}"
Rice,2,0.392307779,-0.366972287,0.256315705,1,0.075662857,0.099322696,"{""type"":""Point"",""coordinates"":[106.14028113494284,21.123684724091188]}"
Rice,-1,0.475448916,-0.388309579,0.314534129,1,0.072755868,0.094766847,"{""type"":""Point"",""coordinates"":[106.1405709765113,21.123680264990135]}"
Rice,4,0.415657818,-0.353415801,0.279512972,1,0.075068713,0.101744451,"{""type"":""Point"",""coordinates"":[106.13941161023742,21.123417178027985]}"
Rice,5,0.420696665,-0.348843257,0.279615269,1,0.074291345,0.101270389,"{""type"":""Point"",""coordinates"":[106.13970145180588,21.12341717802798]}"
Rice,4,0.43101248,-0.330608999,0.287796542,1,0.074138925,0.102697309,"{""type"":""Point"",""coordinates"":[106.13999129337435,21.123412718926925]}"
Rice,0,0.406788454,-0.331772547,0.268150229,1,0.074158636,0.103175359,"{""type"":""Point"",""coordinates"":[106.14028113494284,21.12341271892693]}"
Rice,-3,0.44920606,-0.35983395,0.306315188,1,0.074961615,0.101014444,"{""type"":""Point"",""coordinates"":[106.14056651741025,21.123408259825872]}"
Rice,4,0.365259235,-0.355982866,0.235621378,1,0.077448257,0.101116097,"{""type"":""Point"",""coordinates"":[106.13941161023742,21.123145172863723]}"
Rice,5,0.348135045,-0.345253787,0.226074194,1,0.079880759,0.104492758,"{""type"":""Point"",""coordinates"":[106.13970145180588,21.123145172863723]}"
Rice,4,0.389725839,-0.328661512,0.261395551,1,0.078636003,0.106129999,"{""type"":""Point"",""coordinates"":[106.1399868342733,21.123145172863723]}"
Rice,2,0.395802025,-0.330620398,0.262499296,1,0.077609466,0.103758249,"{""type"":""Point"",""coordinates"":[106.14027667584176,21.123140713762666]}"
